hotel_review_id,rating_overall
103237986,6
103237985,7
103237979,7
103237975,6
103237974,6
103237973,9
103237972,8
103237971,9
103237969,8
103237967,8
103237965,5
103237962,8
103237957,10
103237955,9
103237953,9
103237952,10
103237950,8
103237948,7
103237947,8
103237945,10
103237943,9
103237942,10
103237940,9
103237939,8
103237938,8
103237933,6
103237932,5
103237930,8
103237929,5
103237928,10
103237927,8
103237925,10
103237923,5
103237922,8
103237921,9
103237920,8
103237918,7
103237917,3
103237915,8
103237911,8
103237908,8
103237907,10
103237906,10
103237905,8
103237903,9
103237901,10
103237900,6
103237899,6
103237898,9
103237897,6
103237895,7
103237894,8
103237893,10
103237892,9
103237885,9
103237875,5
103237874,9
103237873,8
103237872,10
103237871,8
103237870,6
103237867,6
103237866,6
103237864,9
103237863,5
103237860,6
103237859,9
103237856,6
103237855,6
103237853,3
103237851,8
103237848,10
103237847,8
103237846,6
103237840,8
103237838,6
103237837,7
103237834,7
103237833,10
103237832,10
103237830,9
103237828,9
103227310,10
103227304,8
103227303,7
103227302,8
103227301,10
103227300,9
103227299,8
103227296,10
103227295,8
103227294,8
103227293,8
103227287,4
103227285,10
103227281,7
103227278,8
103227277,6
103227275,4
103227274,10
103227272,6
103227271,6
103227267,8
103227266,10
103227264,10
103227263,10
103227262,10
103227261,9
103227260,10
103227259,10
103227258,9
103227257,8
103227256,8
103227248,6
103227245,8
103227240,8
103215112,10
103215111,10
103215103,10
103215102,9
103215093,10
103215092,10
103215091,10
103215089,8
103215088,8
103215084,5
103215083,6
103215082,8
103215081,10
103215079,9
103215076,10
103215075,10
103215074,9
103215072,10
103215071,6
103215069,10
103215067,9
103215066,7
103215065,9
103215064,9
103215062,4
103215061,10
103215058,9
103215056,10
103215055,9
103215054,9
103215052,9
103215051,8
103215049,8
103215047,9
103215044,8
103215041,9
103215040,9
103215037,9
103215034,6
103214489,7
103214487,8
103214485,8
103214484,4
103214483,9
103214481,10
103214475,10
103214474,10
103214473,8
103214472,9
103214471,9
103214470,10
103214469,10
103214468,5
103214467,10
103214466,8
103214465,7
103214464,10
103214463,10
103214462,9
103214461,7
103214460,8
103214459,10
103214458,10
103213961,10
103213960,8
103213959,9
103213958,9
103213956,9
103213953,8
103213950,8
103213949,7
103213947,5
103213946,10
103213945,10
103213944,10
103213940,7
103410348,9
103410347,10
103410346,10
103410345,8
103410339,10
103410338,10
103410337,8
103410334,5
103410333,9
103410332,7
